cloud,instance,compute,compute_label,plan,vcpu,memory,baserate,dburate,hourrate,selector,region,storage
AWS,c5.18xlarge,Jobs Light Compute,Jobs Light Compute ($0.07/DBU),Standard,72,144,0.07,3.860,0.2702,c5.18xlarge | 72CPUs | 144GB | 3.86DBU/hr | $0.2702/hr,,
AWS,c5.18xlarge,Jobs Light Compute,Jobs Light Compute ($0.10/DBU),Premium,72,144,0.10,3.860,0.3860,c5.18xlarge | 72CPUs | 144GB | 3.86DBU/hr | $0.386/hr,,
AWS,c5.18xlarge,Jobs Light Compute,Jobs Light Compute ($0.13/DBU),Enterprise,72,144,0.13,3.860,0.5018,c5.18xlarge | 72CPUs | 144GB | 3.86DBU/hr | $0.5018/hr,,
AWS,c5.24xlarge,All-Purpose Compute,All-Purpose Compute ($0.40/DBU),Standard,96,192,0.40,14.560,5.8240,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $5.824/hr,,
AWS,c5.24xlarge,All-Purpose Compute,All-Purpose Compute ($0.55/DBU),Premium,96,192,0.55,14.560,8.0080,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $8.008/hr,,
AWS,c5.24xlarge,All-Purpose Compute,All-Purpose Compute ($0.65/DBU),Enterprise,96,192,0.65,14.560,9.4640,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $9.464/hr,,
AWS,c5.24xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Standard,96,192,0.36,14.560,5.2416,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $5.2416/hr,,
AWS,c5.24xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Premium,96,192,0.36,14.560,5.2416,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $5.2416/hr,,
AWS,c5.24xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Enterprise,96,192,0.36,14.560,5.2416,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $5.2416/hr,,
AWS,c5.24xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Standard,96,192,0.20,14.560,2.9120,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $2.912/hr,,
AWS,c5.24xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Premium,96,192,0.20,14.560,2.9120,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $2.912/hr,,
AWS,c5.24xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Enterprise,96,192,0.20,14.560,2.9120,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $2.912/hr,,
AWS,c5.24xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Standard,96,192,0.25,14.560,3.6400,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $3.64/hr,,
AWS,c5.24xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Premium,96,192,0.25,14.560,3.6400,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $3.64/hr,,
AWS,c5.24xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Enterprise,96,192,0.25,14.560,3.6400,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $3.64/hr,,
AWS,c5.24xlarge,Jobs Compute,Jobs Compute ($0.10/DBU),Standard,96,192,0.10,14.560,1.4560,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $1.456/hr,,
AWS,c5.24xlarge,Jobs Compute,Jobs Compute ($0.15/DBU),Premium,96,192,0.15,14.560,2.1840,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $2.184/hr,,
AWS,c5.24xlarge,Jobs Compute,Jobs Compute ($0.20/DBU),Enterprise,96,192,0.20,14.560,2.9120,c5.24xlarge | 96CPUs | 192GB | 14.56DBU/hr | $2.912/hr,,
